Sample_name	Code	State	City	Location	catchment	Sampler_Start_Date	Sampler End Date	Arrival date	Simplified_date	Sample_Group	Legacy_samples	Ct_N1	Mean	Breadth	Read_count	Bad_quality	Comments	Mean_galaxy	Breadth_galaxy	Read_count_galaxy
B254	23X	Oregon	Ontario	Ontario	Ontario City Inf	2022-01-17	2022-01-18	2022-01-19		Batch6		26.709						48540.7	99.9599	11497105
3272	24X	Arizona	Tempe	TP07	Downtown/TP07	2022-01-17	2022-01-18	2022-01-18		Batch7		28.621						95323.5	99.9565	22176270
B253	5X	Washington	DesMoines	Redondo	Redondo	2022-01-17	2022-01-18	2022-01-19		Batch6		27.618						56575.5	99.9498	13317403
B263	32X	Oregon	Gresham	Gresham	Gresham WWTP	2022-01-17	2022-01-18	2022-01-19		Batch7		27.712						103621	99.8738	
3267	10X	Arizona	Tempe	TP01	TP01	2022-01-17	2022-01-18	2022-01-18		Batch7		27.713						71327.5	99.8729	16611782
3273	17X	Arizona	Guadalupe	Guadalupe	Guadalupe	2022-01-17	2022-01-18	2022-01-18		Batch7		26.79						43162.9	99.8662	10129059
3197	14X	Arizona	Tempe	TP05	TP05	2022-01-03	2022-01-04	2022-01-04		Batch6		27.799						66765.7	99.8228	15585714
B255	6X	Washington	Walla Walla	WallaWalla	City of Walla Walla	2022-01-17	2022-01-18	2022-01-19		Batch6		27.153						25663	99.679	6055501
3271	14X	Arizona	Tempe	TP05	TP05	2022-01-17	2022-01-18	2022-01-18		Batch7		30.3						62560.5	99.6723	14542858
B173	27X	Kentucky	Louisville	Lousville	Site 1914	2021-11-21	2021-11-22	2021-11-23		Batch5		27.877	12943.7	99.699	3100216			12771.8	99.5318	3061423
2488	10X	Arizona	Tempe	TP01	TP01	2021-08-16	2021-08-17	2021-08-17	21-08	Batch2		30.663	36838.4	99.7191	8688690			33781.9	99.5218	7955870
B260	1X	Georgia	Americus	Americus	Americus Mill Creek WPCF	2022-01-17	2022-01-18	2022-01-19		Batch6		29.646						10392.9	99.4114	2487285
3202	39X	Arizona	Tempe	Daley Park	Daley Park	2022-01-03	2022-01-04	2022-01-04		Batch6		26.736						49021.1	99.3914	11513347
2716	16X	Arizona	Tempe	College	College	2021-09-29	2021-09-30	2021-09-30	21-09	Batch4		29.902	16897	99.6154	4109233			16395	99.3847	3991008
3270	13X	Arizona	Tempe	TP04	TP04	2022-01-17	2022-01-18	2022-01-18		Batch7		28.716						42255.3	99.3512	9816025
B261	35X	Washington	Sequim	Sequim Water Reclamation Facility	City of Sequim WRF	2022-01-17	2022-01-18	2022-01-19		Batch6		29.278						8319.45	99.3245	1999812
B256	4X	New Mexico	Farmington	Farmington	Farmington WWTP	2022-01-17	2022-01-17	2022-01-19		Batch6		28.06						22888.7	99.3044	5404214
B240	5X	Washington	DesMoines	Redondo	Redondo	2022-01-03	2022-01-04	2022-01-05		Batch6		26.879						40882.8	99.2877	9551659
2497	17X	Arizona	Guadalupe	Guadalupe	Guadalupe	2021-08-16	2021-08-17	2021-08-17	21-08	Batch2		30.553	49478.7	99.6455	11651825			47726.9	99.2342	11244489
3268	11X	Arizona	Tempe	TP02	TP02	2022-01-17	2022-01-18	2022-01-18		Batch7		27.229						52076.9	99.2242	12118517
B37	3X	Oregon	Dallas	Dallas	Dallas,ORWaterReclamationFacility	2021-08-16	2021-08-17	2021-08-19	21-08	Batch2		30.883	48816.4	99.7392	11493537			42913.1	99.1339	10137196
2493	15X	Arizona	Tempe	Rural	Rural	2021-08-16	2021-08-17	2021-08-17	21-08	Batch2		30.009	62690.7	99.7525	14791029			59351.9	99.0603	13994859
B242	2X	Washington	Des Moines	DesMoines	Midway Sewer District	2022-01-03	2022-01-04	2022-01-05		Batch6		26.623						23967	99.0335	5637181
B262	25X	Illinois	Carol Stream	Carol Stream	Carol Stream WRC	2022-01-17	2022-01-18	2022-01-19		Batch6		30.56						6326.6	98.9934	1527115
3212	33X	Arizona	Tempe	TP06	Spence/TP06	2022-01-04	2022-01-06	2022-01-06		Batch6		27.627						18279.2	98.9767	4283961
3198	15X	Arizona	Tempe	Rural	Rural	2022-01-03	2022-01-04	2022-01-04		Batch6		27.532						23410.8	98.9499	5461484
3352	19X	Arizona	Mesa	ME01	ME01	2022-01-31	2022-02-01	2022-02-01		Batch7		27.828						19277.8	98.9098	4630987
