Sample_name	Code	State	City	Location	catchment	Sampler_Start_Date	Sample	Sample_group
2365	10X	Arizona	Tempe	Tempe 01	TP01	2021-07-22	Wastewater	Batch1
2366	11X	Arizona	Tempe	Tempe 02	TP02	2021-07-22	Wastewater	Batch1
2368	13X	Arizona	Tempe	Tempe 04	TP04	2021-07-22	Wastewater	Batch1
2369	14X	Arizona	Tempe	Tempe 05	TP05	2021-07-22	Wastewater	Batch1
2371	16X	Arizona	Tempe	Tempe 09	College	2021-07-22	Wastewater	Batch1
2372	17X	Arizona	Guadalupe	Guadalupe	Guadalupe	2021-07-22	Wastewater	Batch1
2373	18X	Arizona	Tempe	Tempe 10	StLukes	2021-07-22	Wastewater	Batch1
2374	19X	Arizona	Mesa	Location 1	ME01	2021-07-22	Wastewater	Batch1
B1	1X	Georgia	Americus	Americus	MillcreekWaterPollutionControlFacility	2021-07-19	Wastewater	Batch1
2375	20X	Arizona	Mesa	Location 2	ME02	2021-07-22	Wastewater	Batch1
B2	2X	Washington	Des Moines	Des Moines 1	MidwaySewerDistrict	2021-07-19	Wastewater	Batch1
B3	3X	Oregon	Dallas	Dallas	Dallas,ORWaterReclamationFacility	2021-07-19	Wastewater	Batch1
B4	4X	New Mexico	Farmington	Farmington	FarmingtonWWTP	2021-07-19	Wastewater	Batch1
B5	5X	Washington	Des Moines	Des Moines 2	RedondoWWTP	2021-07-19	Wastewater	Batch1
B6	6X	Washington	Walla Walla	Walla Walla	WWTP	2021-07-19	Wastewater	Batch1
B7	7X	Washington	Spokane	Spokane	SpokaneCountyRegionalWaterFacility	2021-07-19	Wastewater	Batch1
B8	8X	New Jersey	Hoboken	Hoboken	NHSAAdamsSt.Hoboken	2021-07-21	Wastewater	Batch1
B9	9X	Arizona	Scottsdale	Scottsdale	CityofScottsdaleWaterCampus	2021-07-20	Wastewater	Batch1
3937	10X	Arizona	Tempe	Tempe 01	TP01	2022-05-23	Wastewater	Batch10
4009	10X	Arizona	Tempe	Tempe 01	TP01	2022-06-06	Wastewater	Batch10
3938	11X	Arizona	Tempe	Tempe 02	TP02	2022-05-23	Wastewater	Batch10
3940	13X	Arizona	Tempe	Tempe 04	TP04	2022-05-23	Wastewater	Batch10
3941	14X	Arizona	Tempe	Tempe 05	TP05	2022-05-23	Wastewater	Batch10
3945	17X	Arizona	Guadalupe	Guadalupe	Guadalupe	2022-05-23	Wastewater	Batch10
4019	19X	Arizona	Mesa	Location 1	ME01	2022-06-06	Wastewater	Batch10
B413	1X	Georgia	Americus	Americus	Americus Mill Creek WPCF	2022-05-23	Wastewater	Batch10
G432	22X	Arizona	Gilbert	Gilbert 2	Greenfield MS	2022-06-07	Wastewater	Batch10
B399	23X	Oregon	Ontario	Ontario	Ontario City Inf	2022-05-09	Wastewater	Batch10
B416	23X	Oregon	Ontario	Ontario	Ontario City Inf	2022-05-23	Wastewater	Batch10
3944	24X	Arizona	Tempe	Tempe 07	Downtown/TP07	2022-05-23	Wastewater	Batch10
B420	25X	Illinois	Carol Stream	Carol Stream	Carol Stream WRC	2022-05-23	Wastewater	Batch10
B436	25X	Illinois	Carol Stream	Carol Stream	Carol Stream WRC	2022-06-06	Wastewater	Batch10
B401	26X	Kentucky	Louisville	Louisville 1	Wood Road and Terry Road Site 1593	2022-05-10	Wastewater	Batch10
